,Date,Deaths,Injuries,Description,City,State,Latitude,Longitude
10,2001-03-30,1,0,"17-year-old Donald Ray Burt Jr., fatally shot Neal Boyd, IV with one bullet to the head in a parking lot outside Lew Wallace High School. Burt was sentenced to 57 years in prison.",Gary, Indiana,41.59556,-87.34528
11,2002-01-15,0,2,"17-year-old Vincent Rodriguez, wounded two students at Martin Luther King, Jr. High School in Manhattan, with a semi-automatic pistol. He was retaliating for the victims having harassed his girlfriend. In February 2003, Rodriguez was sentenced to ten years in prison on charges of assault and attempted assault.",New York City, New York,40.71274,-74.005974
12,2002-01-16,3,3,"Appalachian School of Law shooting: Recently dismissed graduate student, 42-year-old Peter Odighizuwa, killed three at the Appalachian School of Law. 42-year-old dean Anthony Sutin, and 41-year-old professor Thomas Blackwell were killed along with 33-year-old student, Angela Dales. Three other students were also wounded. In 2005 Odighizuwa received three life sentences and an additional 28 years without the possibility of parole.",Grundy, Virginia,37.2785417,-82.099972
13,2002-02-20,1,0,"16-year-old Washington High School student, Joseph Johnson Jr., was killed by Phillip D. Jackson Jr., when violence erupted between rival fans in the parking lot, after a basketball game between Vincent High School.",Milwaukee, Wisconsin,43.05,-87.95
14,2002-10-07,0,1,"In the Beltway sniper attacks, one victim of several was 13-year-old Iran Brown, who was wounded as he arrived at Benjamin Tasker Middle School in Bowie, Maryland. His aunt, a nurse who had just dropped him off, rushed him to a hospital emergency room. Despite serious injuries, Brown survived the attack. The shooters, Lee Boyd Malvo and John Allen Muhammad, were later convicted of numerous unrelated murders committed during their killing spree. Muhammad was executed in 2009, while Malvo was sentenced to life in prison.",Bowie, Maryland,38.96472,-76.74444
15,2002-10-28,4,0,"Failing nursing college student and Gulf War veteran, 40-year-old Robert Stewart Flores Jr., killed three assistant professors of nursing at the University of Arizona, 50-year-old Robin Rogers, 44-year-old Cheryl McGaffic, and 45-year-old Barbara Monroe, before turning the gun on himself.",Tucson, Arizona,32.22167,-110.92639
16,2002-10-29,0,1,"A 15-year-old student was shot in the abdomen and wounded inside a basement of Lincoln High School, during an argument with another student. Another 15-year-old student was arrested and charged with attempted murder.",Jersey City, New Jersey,40.71,-74.06
17,2003-04-02,0,1,"A 10th-grader was shot in the leg near Cardozo high school in Columbia Heights, causing a three-hour lockdown at six D.C. public schools while police searched for possible gunmen.",Washington, D.C.,38.9101,-77.0147
18,2003-04-14,1,3,"John McDonogh High School shooting. 18-year-old Steven Williams, and 17-year-old James Tate opened fire with an AK-47 and a handgun in the gymnasium of John McDonogh High School, killing a 15-year-old student and wounding three female students. Williams was sentenced to life imprisonment, and Tate was sentenced to fifteen years.",New Orleans, Louisiana,29.95,-90.08
19,2003-04-24,2,0,"14-year-old student James Sheets, entered Red Lion Area Junior High School armed with his stepfather's pistols. He killed the school's principal, Eugene Segro, before killing himself.",Red Lion, Pennsylvania,39.89889,-76.60639
20,2003-05-09,1,2,"On May 9, 2003, Biswanath Halder, a 62-year-old business school alumnus of Case Western Reserve University, killed a graduate student and wounded a professor and another student using a semi-automatic rifle. He held the building and its nearly 100 occupants hostage for seven hours before being apprehended by a SWAT team. He was sentenced to life in prison.",Cleveland, Ohio,41.48222,-81.66972
21,2003-09-24,2,0,"Rocori High School shooting: 15-year-old John Jason McLaughlin, shot 15-year-old freshman Seth Bartell and 17-year-old senior Aaron Rollins at Rocori High School. Rollins was killed immediately, and Bartell died from his wounds sixteen days later. McLaughlin was sentenced to life in prison with the chance of parole in 2038.",Cold Spring, Minnesota,45.45,-94.433
22,2004-02-02,1,1,"Thomas J. Boykin was acquitted of the murder of 17-year-old James Richardson, a football player at Ballou High School in Southeast Washington. An 18-year-old student was also grazed in the leg by a bullet.",Washington, D.C.,38.9101,-77.0147
23,2004-02-09,0,1,"16-year-old Jon W. Romano in East Greenbush, New York fired at two rounds from a shotgun, before wounding a teacher with a third. He was tackled by the assistant principal and charged with one count of attempted murder.",East Greenbush, New York,42.61222,-73.69944
24,2004-05-07,0,4,"Two students were charged with a school shooting that arose from a dispute after a basketball game at Randallstown High School. Four persons were injured, two seriously. One student was paralyzed from the waist down.",Randallstown, Maryland,39.37528,-76.79667
25,2005-02-08,0,1,An 18-year-old student at Bowen High School was shot in the leg as she left the school around 2:30 p.m.,Chicago, Illinois,41.88194,-87.62778
26,2005-03-02,1,0,"14-year-old Jason Clinard, killed his bus driver, 47-year-old Joyce Gregory, as she stopped to pick him up. Gregory had earlier reported Clinard for using snuff on the school bus. Clinard was given a life sentence. but he has since filed for post conviction relief",Dover, Tennessee,36.48222,-87.84472
27,2005-03-21,10,7,"Red Lake shootings: 16-year-old student Jeff Weise, killed his grandfather and grandfather's companion at their home, where he had been living, at the Red Lake Indian Reservation. He drove to Red Lake Senior High School. Armed with his grandfather's police weapons, Weise killed five students, one teacher, and one security guard, wounding seven others, before committing suicide following a gunfight with police officers.",Red Lake, Minnesota,47.87722,-95.01222
28,2005-07-18,1,2,"After breaking up a fight between a group of youths at Weequahic High School, Special Officer Dwayne Reeves was shot and killed and his partner wounded in the hand by two men who pulled up alongside him in a car. Despite being wounded, Officer Reeves' partner was able to return fire and hit one of the suspects in the stomach. The gunman was convicted of manslaughter and in 2007 was sentenced to 30 years in prison.",Newark, New Jersey,40.72422,-74.172574
29,2005-09-13,0,1,"At Harlan Community Academy High School, a fight broke out between two 15-year-old boys in the gymnasium. Christopher Huff took out a pistol, shooting the other youth in the leg. A police officer on duty at the school arrested the gunman. The suspected shooter was charged as an adult with aggravated battery with a firearm.",Chicago, Illinois,41.88194,-87.62778
30,2005-11-08,1,2,"Campbell County High School shooting: Inside the Campbell County High School office, 15-year-old Kenneth Bartley, shot the school principal, Gary Seale. He shot assistant principals Ken Bruce and Jim Pierce. Bruce later died from his wound. Bartley was sentenced to forty-five years in prison with chance of parole after twenty-nine years.",Jacksboro, Tennessee,36.33139,-84.18889
31,2006-02-23,0,1,"14-year-old freshman Vincent Wayne Leodoro, shot student 16-year-old Joseph Monti, four times in the back with a handgun at Roseburg High School. Leodoro walked away from the school campus, and was confronted near a restaurant by six police officers. He threatened suicide but was persuaded to surrender. He was found guilty of attempted murder and assault in July 2006, and will be held in prison until he turns twenty five years old.",Roseburg, Oregon,43.21806,-123.35611
32,2006-03-14,0,2,"Pine Middle School shooting: In the hallway of Pine Middle School, 14-year-old James Scott Newman, injured two 14-year-old classmates, Alexander Rueda and Kenzie McKeon, with a revolver belonging to his parents. Two students received minor wounds. Newman was subdued by a physical education teacher. The youth was arrested and charged as an adult for attempted murder, use of a deadly weapon and use of a firearm by a minor. He later pleaded guilty to charges of two counts of battery with a deadly weapon, and was sentenced as a juvenile. Newman was sentenced to house arrest until he completed two-hundred hours of community service.",Reno, Nevada,39.52722,-119.82194
33,2006-08-24,2,3,"Christopher Williams, 26, shot his girlfriend's mother, Linda Lambesis, 57 at her home and from there he went to Essex Elementary School where Andrea, his girlfriend, worked. After he arrived at the elementary school, which was not in session at the time, he shot and killed Mary Alicia Shanks, 56, and shot Mary Snedeker, 52, nonfatally. He left the school and allegedly shot Chad Johansen, 26 nonfatally. He then turned the gun on himself, but did not die as a result. Williams was sentenced to life in prison without parole in 2008.",Essex Junction, Vermont,44.49278,-73.10861
34,2006-08-30,1,2,"After shooting and killing his father, 18-year-old teenager Alvaro Castillo went to his high school where he wounded two students. He was reportedly obsessed with the Columbine shootings and had written an email to the current Columbine high school principal before committing his own crime. he was sentenced to life without parole.",Hillsborough, North Carolina,36.07056,-79.10417
35,2006-09-02,3,0,"49-year-old Douglas W. Pennington, killed himself and his two sons, 26-year-old Logan P. Pennington, 24-year-old Benjamin M. Pennington, during a visit to the campus of Shepherd University.",Shepherdstown, West Virginia,39.43194,-77.80611
36,2006-09-17,0,5,"Five Duquesne basketball players were shot early Sunday morning during an apparent act of random violence on campus, leaving three hospitalized — two of them in critical condition.",Pittsburgh, Pennsylvania,40.43972,-79.97639
37,2006-09-22,0,1,"Eugene Huff, 17, and an unnamed 16-year-old male sophomore were arguing at one of Cardozo's entrances.  The fight climaxed when Eugene pulled out a handgun and shot his classmate in the leg.  The shooting was captured on the school's surveillance system and witnesses said they heard as many as seven shots.",Washington, D.C.,38.9101,-77.0147
38,2006-09-27,2,0,"Platte Canyon High School hostage crisis: 53-year-old drifter, Duane Roger Morrison, walked into Platte Canyon High School and took six girls hostage. During the ensuing siege, Morrison sexually assaulted all of the girls. When a SWAT team stormed the classroom, Morrison killed 16-year-old Emily Keyes, then took his own life after being shot and wounded by police.",Bailey, Colorado,39.405,-105.47222
39,2006-09-29,1,0,"Weston High School shooting: At around 8 a.m., 15-year-old freshman, Eric Hainstock, entered Weston High School. He aimed a 20-gauge shotgun at social studies teacher, Chuck Keller, before it was wrestled from him by school custodian, Dave Thompson. Hainstock then shot 49-year-old high school principal, John Alfred Klang, with a .22 caliber revolver. Klang died later that afternoon. Hainstock was charged and convicted of murder, and is serving a life sentence. He will be eligible for parole in 2037.",Cazenovia, Wisconsin,43.52333,-90.19694
40,2006-10-02,6,5,"West Nickel Mines School shooting: 32-year-old milk truck driver, Charles Carl Roberts IV, killed five Amish girls and wounded five others before killing himself in an Amish school in the hamlet of Nickel Mines, in Bart Township, Lancaster County.",Nickel Mines, Pennsylvania,39.95889,-76.08056
41,2006-10-09,0,0,"13-year-old student Thomas White fired one shot from a MAK-90 rifle at a hallway ceiling at Memorial Middle School. The gunshot struck a water pipe, and nobody was injured. He also tried repeatedly to shoot principal Stephen Gilbreth at near-point-blank range as Gilbreth ushered him out of the school. Joplin police say the attempt was foiled by an improperly seated ammunition magazine in the rifle. The principal was not injured. White was tried as an adult on charges of assault and firearms possession, and in 2009 he was sentenced to ten years of prison.",Joplin, Missouri,37.08417,-94.51306
42,2007-01-03,1,0,"18-year-old student Douglas S. Chanthabouly, killed 17-year-old Samnang Kok, in the hallways of Henry Foss High School following a personal disagreement. In 2009, Chanthabouly was sentenced to 23 years in prison on a charge of second-degree murder.",Tacoma, Washington,47.24139,-122.45944
43,2007-03-07,0,1,"During an argument with several non-students and students, a student was shot in the elbow and wounded in the eating area at Centennial High School. The shooting occurred an hour after classes were dismissed, and students in after-school activities were sent home.",Compton, California,33.89667,-118.225
44,2007-04-16,33,23,"Virginia Tech shooting: A 23-year-old student, Seung-Hui Cho, armed with two pistols, a Glock 19 and a Walther P22, killed thirty-two students and faculty members at Virginia Tech and wounded another seventeen students and faculty members in two separate attacks before committing suicide. The first attack was on the second floor of West Ambler Johnston Hall, where he shot a young girl and another student who came to help. He then changed his clothes, recorded multiple videos stating that he ""had to do it for his brothers and sisters"", and made several pictures of himself with hammers, large knives, and guns. He then chained the doors of Norris Hall shut and shot and killed thirty more students and staff. He also shot seventeen more students and staff, wounding them. Six more students were also wounded from non gunshot injuries. He was described as extremely quiet and lonely. During the rampage he wore a black T-shirt, a russet vest, a backwards baseball cap, black military cargo pants, black boots, and grip gloves. The incident is the third deadliest shooting by a lone gunman, and the deadliest school shooting, in modern U.S. history.",Blacksburg, Virginia,37.23,-80.41778
45,2007-09-21,1,1,"Two 17-year-old Delaware State University freshmen were shot on campus. One died 32 days later on October 23, from critical injuries sustained in the attack. A suspected perpetrator, Loyer D. Braden, a freshman from East Orange, New Jersey, was arrested and charged with attempted murder; the charges were dismissed in May 2009.",Dover, Delaware,39.15806,-75.52444
46,2007-10-10,1,5,"At SuccessTech alternative high school in downtown Cleveland, 14-year-old student Asa H. Coon shot two students and two teachers in the halls and classrooms on the fourth floor of the building. Coon then moved to another room on the same floor, where he fatally shot himself.",Cleveland, Ohio,41.48222,-81.66972
47,2007-11-07,0,1,"At Miami Carol City Senior High School, a robber shot a teacher, who had been smoking a cigarette outside of the campus building. The 18-year-old robber stole the teacher's wallet and was later arrested. The teacher survived the shooting.",Miami Gardens, Florida,25.9421222,-80.2699194
48,2008-01-23,0,1,Arkansas State University offensive line-man 20-year Alfred Louis was grazed in the lower left leg when someone fired several rounds from a 9mm handgun at a residence hall. He was treated at a local hospital. Charges were later dismissed against the person accused of firing the shots.,Jonesboro, Arkansas,35.82806,-90.69417
49,2008-02-04,0,1,"At Hamilton High School, a student shot a 16-year-old student in the leg during a classroom argument over rap music. The victim's injury was not life-threatening.",Memphis, Tennessee,35.1175,-89.97111
50,2008-02-08,3,0,"Latina Williams, a 23-year-old nursing student at Louisiana Technical College killed two classmates and herself in a second floor classroom.",Baton Rouge, Louisiana,30.4475,-91.17861
51,2008-02-11,0,1,"43-year-old 11th grade algebra teacher, Sergio Miranda, was shot by 19-year-old Patrick Lively, outside Miami Carol City Senior High School during a robbery but was expected to survive. In 2011, Lively received a life sentence.",Miami Gardens, Florida,25.9421222,-80.2699194
52,2008-02-11,0,1,"Following a feud that started off campus earlier in the week, a 19-year-old senior was shot by a 17-year-old sophomore during a gym class held in the cafeteria with about 75 other students at Mitchell High School, before handing the gun to a coach making no attempt to flee. The victim suffered at least two gunshot wounds and was in critical condition, the suspected shooter was in custody. ""He walked up to him, shot him, and made a statement to the coach that 'It's over now,' "", said principal, Daniel Ware.",Memphis, Tennessee,35.1175,-89.97111
53,2008-02-12,1,0,"Murder of Larry King: 14-year-old Brandon McInerney, shot 15-year-old Lawrence ""Larry"" King, twice in the head in the computer laboratory of E.O. Green Junior High School. McInerney was apprehended in a nearby neighborhood. King, who was openly homosexual, died two days later. McInerney was initially charged with a hate crime, but that charge was dropped. McInerney pleaded guilty to second-degree murder and was sentenced to 21 years in prison.",Oxnard, California,34.19139,-119.1825
54,2008-02-14,6,21,"Northern Illinois University shooting: 27-year-old Steven Kazmierczak, shot multiple people with a shotgun in a classroom of Northern Illinois University, killing five and injuring 21, before taking his own life. Kazmierczak was not enrolled at the university, but had attended in the years prior to the attack.",DeKalb, Illinois,41.93139,-88.75028
55,2008-02-27,0,1,33-year-old James Earl Matthews was shot in the stomach and buttocks as close range with a handgun on the University of Arkansas at little rock campus. He survived. Gerald Pride Jr. was sentenced to 20 years on multiple charges.,Little Rock, Arkansas,34.73611,-92.33111
56,2008-08-14,1,0,"26-year-old Omero Mendez was waiting at the Lakota Middle School campus to pick up his girlfriend's son. He was confronted by 16-year-old Luis F. Cosgaya-Alvarez and two of his friends, driving in an SUV. Cosgaya-Alvarez flashed gang signs at Mendez, and shot him once in the head. Mendez later died of his injuries. Cosgaya-Alvarez was arrested a few days later in Seattle and was charged with murder. Cosgaya-Alvarez pleaded guilty to murder and weapon enhancements, and was sentenced to eighteen years in prison.",Federal Way, Washington,47.317,-122.35
57,2008-08-21,1,0,"At Central High School, 15-year-old Jamar Siler killed 15-year-old Ryan McDonald. In 2011, Siler was sentenced to thirty years in prison after pleading guilty to murder in a plea agreement.",Knoxville, Tennessee,35.9617,-83.9232
58,2008-09-02,0,0,"A 15-year-old student brought a handgun into South High School, and shot two rounds, one into the ceiling and one shattering a trophy case. The student then put the gun to his head. Then Assistant Principal Jeff Lyons talked the student out of doing any harm.",Willoughby, Ohio,41.64583,-81.40972
59,2008-10-16,1,3,"16-year-old Christopher Walker, was killed, and three other teenagers were seriously wounded during a drive-by shooting near Henry Ford High School, soon after classes let out. Three teenagers were arrested and charged in connection with the shooting. The shooter, 15-year-old William Morton, was sentenced to life without parole, and Devon Bell was sentenced to forty-two years of prison.",Detroit, Michigan,42.33139,-83.04583
60,2008-10-26,2,1,"University of Central Arkansas shootings: Four young men fatally shot two students, 18-year-old Ryan Henderson, and 19-year-old Chavares Block, and wounded a 19-year-old campus visitor in the leg, outside the Arkansas Hall dormitory of University of Central Arkansas.",Conway, Arkansas,35.08722,-92.45333
61,2008-11-12,1,0,"15-year-old Amanda Collette, was killed in the hallway at Dillard High School. The shooter, 15-year-old Teah Wimberly, was sentenced to twenty-five years to life on a first-degree murder charge.",Fort Lauderdale, Florida,26.133,-80.15
62,2009-01-09,0,5,"After attendees were leaving a basketball game at Dunbar High School, a truck pulled over and someone inside fired shots at the crowd, wounding five people, three critically. 18-year-old Georgio Dukes, was arrested and charged a week later with five counts of felony aggravated battery with a firearm. Police believe that the attack was gang-related.",Chicago, Illinois,41.88194,-87.62778
63,2009-04-26,0,3,"18-year-old Odane Greg Maye, a former student of Hampton University, followed a 43-year-old pizza delivery man into his former dormitory. Armed with three guns, Maye wounded the delivery man, then the dorm monitor. Lastly, Maye shot himself in a suicide attempt. He survived and was convicted of two charges of malicious wounding, two counts of using a gun in a felony; burglary; and shooting in an occupied building. He was sentenced to fourteen years of prison in November 2009, and was ordered by a judge to pay more than $62,000 in restitution to his victims for lost wages.",Hampton, Virginia,37.034946,-76.360126
64,2009-05-18,1,0,"20-year-old Jabrai Copney, 23-year-old Jason Aquino, and 19-year-old Blayn Jiggetts, of New York City, invited 21-year-old Justin Cosby, of Cambridge, into a Harvard College dormitory. After trying to rob him of a pound of marijuana, they shot him. The victim, Cosby, was pronounced dead early the next day. Copney turned himself in three days later, and was convicted of murder. His partners pleaded guilty to armed robbery and manslaughter. His girlfriend, 21-year-old Brittany Smith, pleaded guilty to accessory after the fact, firearm possession, and misleading a grand jury.",Cambridge, Massachusetts,42.37361,-71.11056
65,2009-05-18,1,0,"15-year-old Larose-Cut Off Middle School student, Justin Doucet, carried his backpack to a restroom, where he put on camouflage clothes and took out a semi-automatic handgun before storming into a nearby classroom. He attempted to shoot a teacher, Jessica Plaisance, but the gun did not fire. He returned to the restroom and shot himself in the head, dying a week later of his wounds.",Larose, Louisiana,29.56722,-90.37611
66,2009-06-16,0,3,"After students were being let out of International Studies Academy on the first day of summer school classes, a man left a car and opened fire, wounding three people, including a 17-year-old female student. An 18-year-old man was arrested for being an accessory in the crime.",San Francisco, California,37.7775,-122.41639
67,2009-09-03,0,1,"A 20-year-old student was wounded in the parking lot of Skyline College after an argument between him and other men. The college campus was placed on lockdown. Three San Francisco residents, 18-year-old Germaine B. Benjamin, 20-year-old Dimaryea J. McGhee, and 18-year-old Jacori W. Bender, were each arrested and charged with felony firearm offenses.",San Bruno, California,37.62528,-122.42528
68,2010-02-05,1,0,"14-year-old student, Hammad Memon, killed 14-year-old Todd Brown at Discovery Middle School as classes were changing. The shooting was possibly related to gang activity. In May 2013, Memon pleaded guilty to the murder and was sentenced to thirty years of prison. After Memon is released from prison, he is likely to be deported to his native Pakistan.",Madison, Alabama,34.715,-86.73972
69,2010-02-19,0,1,"Less than a week after Northern Illinois University solemnly marked the second anniversary of a mass shooting on campus that claimed the lives of five students, the DeKalb school was the scene of further gun violence. 24-year-old NIU student, Brian Mulder, refused entry to 22-year-old Zachary R. Isaacman, when he had tried to follow a female resident into the Stevenson Residence Hall North, where they were living, because he was not a resident. Moments later, while outside the dorm smoking with a friend, Mulder was shot by Isaacman, with a handgun in the leg above the knee. Isaacman tried to flee, but was caught by police within minutes.",DeKalb, Illinois,41.93139,-88.75028
70,2010-02-23,0,2,"At Deer Creek Middle School, 32-year-old Bruco Strong Eagle Eastwood opened fire from a rifle in a parking lot, and wounded two eighth-graders Reagan Webber and Matt Thieu, before being restrained by 57-year-old Math teacher, David Benke, and held until his arrest. The boy's wounds were critical for the four days following the shooting. In October 2011, Eastwood was found not guilty by reason of insanity.",Littleton, Colorado,39.59972,-105.01083
71,2010-05-11,0,1,A West Bladen High School student was shot on campus as students were leaving school for the day. Investigators said the incident started when a fight broke out between two groups of students near the high school's entrance.,Bladenboro, North Carolina,34.54056,-78.79306
72,2010-09-08,0,2,"Two students were wounded in front of Mumford High School by 17-year-old Steven Jamal Hare. He was tried as an adult and charged with assault with intent to kill. In 2012, Hare was sentenced to 27 years in prison.",Detroit, Michigan,42.33139,-83.04583
73,2010-09-28,1,1,"A 19-year-old sophomore student Colton Tooley, wielding an AK-47 and wearing a ski mask, opened fire and then killed himself in a University of Texas library",Austin, Texas,30.26722,-97.74306
74,2010-10-01,1,0,15-year-old student Jose Daniel Cisneros was killed after being shot several times on an athletic field at Alisal High School while walking to school. Police said that the shooting was gang-related.,Salinas, California,36.67778,-121.65556
75,2010-10-08,0,2,"41-year-old Brendan O'Rourke climbed over a fence and opened fire with a handgun in a playground of Kelly Elementary School, which had 230 students; two second-grade female students were grazed in the arms before O'Rourke was subdued by a construction worker. He was found guilty of seven counts of attempted murder and was sentenced to 189 years to life in prison.",Carlsbad, California,33.12194,-117.29694
76,2010-11-29,1,0,"15-year-old Samuel Hengel, took 23 students and a teacher hostage inside a classroom of Marinette High School for five hours. He had stormed into the class, firing with a handgun at a movie projector. Police persuaded Hengel to release the hostages. After officers entered the building, Hengel shot himself in the head. He died the next day.",Marinette, Wisconsin,45.1,-87.63056
77,2010-12-06,0,1,"In a gang-related attack outside Aurora Central High School, a 17-year-old girl was paralyzed. She was one of a group of students outside the school. 20-year-old Luis Enrique Guzman-Rincon, had fired shots from a car trying to hit gang rivals. Guzman-Ricon was sentenced to thirty-five years in prison.",Aurora, Colorado,39.71083,-104.8125
78,2011-01-05,2,2,"At Millard South High School, 18-year-old student, Robert Butler Jr., killed assistant principal Dr. Vicki Kaspar and wounded principal Curtis Case before opening fire at police in the front office area, causing the school nurse to be wounded by gunshot debris. Butler then drove to a parking lot and shot himself as police cornered him.",Omaha, Nebraska,41.25,-96.0
79,2011-03-25,0,1,"Michael Phelps, a 15-year-old suspended student, returned to Martinsville West Middle School with a handgun. In the entrance of the school, Phelps shot 15-year-old Chance Jackson twice in the abdomen, critically wounding him. Phelps fled the school and dropped the handgun; he was arrested shortly after. Jackson had to undergo surgery three times to save his life; he suffers from post-traumatic stress disorder. Phelps was convicted of attempted murder in August 2011, and was sentenced to thirty years in prison and five years of probation.",Martinsville, Indiana,39.42722,-86.42778
80,2011-03-31,1,5,"Multiple gunmen opened fire during a powder puff football game at Worthing High School. One man, an 18-year-old former student named Tremaine De Ante' Paul, died. Five other people were injured.",Houston, Texas,29.76278,-95.38306
81,2011-04-19,0,3,"6-year-old boy took a semi-automatic pistol in his backpack to Ross Elementary, Later that morning as he and more than 40 other kindergartners were having lunch in a crowded cafeteria, the boy accidentally fired the gun as he was showing it off to friends. The boy, as well as another 6-year-old boy and a 5-year-old girl were injured. Houston police say the gun belonged to a friend of the boy's family.",Houston, Texas,29.76278,-95.38306
82,2011-05-23,0,1,"A 14-year-old male student was accused of firing a handgun on the campus of Highlands Intermediate School, wounding one student. The gunman was arrested on suspicion of attempted murder. Two other suspects were arrested in connection with the shooting.",Pearl City, Hawaii,21.40833,-157.96694
83,2011-08-19,0,1,An Albany State University student was shot on campus.,Albany, Georgia,31.58222,-84.16556
84,2011-10-24,0,1,"Cape Fear High School shooting: 15-year-old Catilyn Abercrombie, was shot in the neck with a rifle by fellow student, 15-year-old Charles Underwood, at Cape Fear High School. She was hospitalized for two months in a serious condition. Underwood was arrested and charged with attempted murder. He was convicted of attempted first-degree murder and sentenced to fifteen years in prison.",Fayetteville, North Carolina,35.0525,-78.87806
85,2011-12-08,2,0,"22-year-old, Ross Truett Ashley, part-time business student at Radford University, killed a police officer engaged in an unrelated traffic stop on the campus of Virginia Tech, he then committed suicide in a nearby parking lot.",Blacksburg, Virginia,37.23,-80.41778
86,2011-12-09,0,2,"Two students were shot after school at Harwell Middle School in Edinburg, Texas while trying out for their school's basketball team. The shooting allegedly was done by an adult off campus, who was shooting at a target range.",Edinburg, Texas,26.30417,-98.16389
87,2012-01-10,0,1,"A student opened fire with a handgun at North Forest High School, wounding another student. The shooter said that he had been confronted by three students who had been bullying him and he shot in self-defense. He hit a 16-year-old bystander in the leg. The 18-year-old suspect was charged with aggravated assault with a deadly weapon.",Houston, Texas,29.76278,-95.38306
88,2012-02-23,0,1,"Armin Jahr Elementary School: A 9-year-old boy accidentally set off a firearm in class after slamming his backpack on a desk hitting 8-year-old Amina Kocer-Bowman in the abdomen causing her to spend 8 weeks in a hospital. The boy said he took the gun because he planned to run away from his uncle's house, where he lived, and that he planned to bring a gun with him for protection. The boy's mother, Jamie Lee Chaffin, a felon, eventually pleaded guilty to weapons charges and was sentenced to 14 months in prison. The boy made a plea agreement with Kitsap County prosecutors, taking responsibility for bringing the handgun school to and was sentenced to a year of court-supervised probation.",Bremerton, Washington,47.57,-122.6525
89,2012-02-27,3,3,"Chardon High School shooting: 17-year-old Thomas ""T. J."" Lane, took a semi-automatic handgun and a knife to Chardon High School, where he fired ten shots at a group of students sitting in the cafeteria. He killed three boys and wounded three other students. One 16-year-old died immediately, two others died the following day. Lane was arrested early the next morning while standing near his car. He was charged as an adult with murder, attempted murder, and firearms offenses. In March 2013, he was convicted and sentenced to three life sentences without the possibility of parole.",Chardon, Ohio,41.57917,-81.20444
90,2012-04-02,7,3,"Oikos University shooting: 43-year-old One L. Goh, was accused of shooting dead seven students with a handgun and wounding three others at Oikos University, a Christian college. He fled the scene, stealing a victim's car, and was apprehended hours later nearby. Goh was charged with seven counts of murder. In January 2013, Goh was determined to be mentally unfit for trial and committed for treatment.",Oakland, California,37.80444,-122.27083
91,2012-08-16,0,2,Two Hamilton High School students were wounded in the parking lot of the school. The attack was believed to be gang-related.,Memphis, Tennessee,35.1175,-89.97111
